IDKABKOT,mean,sd,ci_lower,ci_upper,rse_pct,mse,rmse
3203,0.016956050035578905,0.0021322648009219113,0.012914362375724535,0.021150155647388428,12.575244803169234,4.546553181250558e-06,0.0021322648009219113
3204,0.01697270264610472,0.0020181654406434646,0.013210063317917645,0.020937322374484934,11.89065455704922,4.072991745807629e-06,0.0020181654406434646
3205,0.021908848418087736,0.002289738667790943,0.017583730271690756,0.0263855560961712,10.451205029564935,5.2429031667770435e-06,0.002289738667790943
3206,0.03192699624636924,0.0031801074947828433,0.02537090042353835,0.03799060649251628,9.960559616204069,1.0113083678374012e-05,0.0031801074947828433
3207,0.035408497590577744,0.0033006106355638544,0.029204196856008717,0.04201700527837615,9.321521273588722,1.089403056759723e-05,0.0033006106355638544
3208,0.03740220150832043,0.0035616306462245,0.03080715856796122,0.04478869067945047,9.522516062141918,1.2685212860125549e-05,0.0035616306462245
3209,0.06111692593983787,0.0038985372797226458,0.053736233576735994,0.0688859802263284,6.378817683926509,1.5198592921387248e-05,0.0038985372797226458
3210,0.04833909275458015,0.003964360952227171,0.04049586897557534,0.05608232733807106,8.201148855553452,1.5716157759543527e-05,0.003964360952227171
3211,0.02942609511973186,0.003174565028061834,0.023614697618572753,0.035996459181904215,10.788264685289855,1.0077863117393231e-05,0.003174565028061834
3212,0.019133007038606827,0.0024871857718180377,0.014383472233697106,0.02399494091565795,12.99945046170402,6.186093063534088e-06,0.0024871857718180377
3213,0.01724763989189416,0.0024478648476636026,0.01252073914512825,0.02200440710589719,14.192462638404347,5.992042312427153e-06,0.0024478648476636026
3214,0.05271874621000455,0.004195336726134369,0.04486828007479857,0.06113438419186015,7.957959981487971,1.7600850245651846e-05,0.004195336726134369
3215,0.04857882995815493,0.0035766021588996707,0.04126733130144312,0.05522365032653912,7.362470775810166,1.2792083003045786e-05,0.0035766021588996707
3216,0.043941813044746876,0.003298411866720869,0.037573223778613954,0.0503692520888235,7.506317191241123,1.0879520842525048e-05,0.003298411866720869
3217,0.022799910067886755,0.0024965495894994105,0.018033894768226102,0.027741351827722867,10.949822091692168,6.232759852829676e-06,0.0024965495894994105
3218,0.027211205348340317,0.0034156371010309106,0.020283931448925062,0.03374457835922266,12.552318272219571,1.1666576805938843e-05,0.0034156371010309106
3271,0.05222989589709556,0.004177593148318215,0.04415071995376555,0.06032291809012233,7.998471137198888,1.745228451287529e-05,0.004177593148318215
3272,0.04284538836684912,0.0041190157230949044,0.03493829625772212,0.05091570197304894,9.613673443282222,1.6966290527103036e-05,0.0041190157230949044
